Fecha,ID,Gradient Clip Val,Hidden Size,Dropout,Hidden Continuous Size,Attention Head Size,Learning Rate,Loss Function,Epochs,Val Loss,Test MAE,Test MAPE,Test RMSE,Training Time (s)
2024-10-20 16:02:33,1,0.05,16,0.1,16,4,0.005,MAPE,70,0.006015576422214508,235.46137500000003,0.021233513370816307,279.14606416448424,185.168411
2024-10-20 16:06:21,2,0.01,32,0.25,16,8,0.01,MAPE,70,0.020316146314144135,251.9819296875,0.022800412850245363,273.8989326180966,227.084032
2024-10-20 16:10:14,3,0.05,32,0.25,16,4,0.01,MAPE,70,0.008937656879425049,127.57356250000004,0.011569940623076726,159.70250196090058,231.474219
2024-10-20 16:13:49,4,0.05,8,0.4,32,8,0.03,MAPE,70,0.010603136382997036,101.5381562500001,0.009185809325650423,121.93899659870027,213.786386
2024-10-20 16:17:40,5,0.03,32,0.4,8,8,0.005,MAPE,70,0.02131817676126957,255.71470312500003,0.02312974454958532,273.285812543997,229.433427
2024-10-20 16:21:07,6,0.05,8,0.4,16,8,0.01,MAPE,70,0.014503623358905315,175.29192968750002,0.015875347739678254,197.83517891355365,205.476219
2024-10-20 16:24:10,7,0.01,8,0.1,8,4,0.005,MAPE,70,0.01188520435243845,140.75361718750014,0.012754933051603762,167.42792016780433,181.48777
2024-10-20 16:28:25,8,0.05,32,0.1,8,4,0.01,MAPE,70,0.023155128583312035,224.433765625,0.02031030688987514,245.36916284550426,252.913102
2024-10-20 16:37:12,9,0.03,32,0.25,32,2,0.005,MAPE,70,0.01621309481561184,199.36219531250003,0.018038111163555248,222.25647413811342,526.047336
2024-10-20 16:41:07,10,0.03,8,0.25,32,2,0.005,MAPE,70,0.013763060793280602,103.2747343750002,0.009364321945127579,141.53812358420421,233.850857
2024-10-20 16:44:58,11,0.05,16,0.1,16,4,0.01,MAPE,70,0.010415373370051384,181.89813281250005,0.0164799926136732,214.84766273268397,229.355801
2024-10-20 16:48:11,12,0.03,8,0.4,8,4,0.01,MAPE,70,0.01606360450387001,156.40992968750004,0.014165079005842345,183.8723254556314,191.07548
2024-10-20 16:53:12,13,0.05,16,0.4,32,2,0.03,MAPE,70,0.00817891675978899,128.0293828125002,0.01160037860239113,156.10832859636875,299.937682
2024-10-20 16:56:53,14,0.05,8,0.1,16,2,0.03,MAPE,70,0.0058670127764344215,102.27990625000012,0.009270606146025161,126.64417986335478,219.016806
2024-10-20 17:02:14,15,0.05,32,0.25,32,2,0.005,MAPE,70,0.01654226891696453,196.15200000000004,0.017759971384865483,219.37479779054553,319.22327
2024-10-20 17:05:35,16,0.03,8,0.4,8,8,0.03,MAPE,70,0.010003316216170788,223.36969531250006,0.02020852694581772,248.6037558524829,199.530259
2024-10-20 17:10:07,17,0.05,8,0.25,16,2,0.01,MAPE,70,0.007905197329819202,176.21285937500005,0.015965819117776628,206.67797969695226,270.783702
2024-10-20 17:13:47,18,0.05,8,0.4,8,2,0.01,MAPE,70,0.015482001006603241,199.13251562500002,0.018030617074491346,222.44714679582333,218.498051
2024-10-20 17:19:37,19,0.05,32,0.25,32,4,0.01,MAPE,70,0.015278023667633533,166.44719531250004,0.015064263130153948,185.6224448221564,348.370371
2024-10-20 17:27:20,20,0.03,32,0.25,16,2,0.01,MAPE,70,0.007364806719124317,363.74896874999996,0.03267107838546859,410.3231604147341,461.137159
2024-10-21 21:03:07,1,0.01,32,0.4,16,4,0.01,MAPE,70,,1012.091625,0.09120660094827894,1025.40254082247,0.898838
